
================================================================================
MÉTRICAS DE CENTRALIDADE DA REDE
================================================================================
Vértice    Grau         Intermediação   Proximidade     PageRank    
300        0.0018       0.0000          0.0000          0.0011      
407        0.0018       0.0000          0.0000          0.0011      
453        0.0018       0.0000          0.0000          0.0011      
476        0.0018       0.0000          0.0000          0.0011      
514        0.0018       0.0000          0.0000          0.0011      
7          0.0018       0.0000          0.4758          0.0011      
9          0.0018       0.0000          0.3236          0.0011      
13         0.0018       0.0000          1.0000          0.0011      
18         0.0018       0.0000          1.0000          0.0011      
23         0.0018       0.0000          1.0000          0.0011      
27         0.0018       0.0000          0.5000          0.0011      
34         0.0018       0.0000          1.0000          0.0011      
35         0.0036       0.0000          0.7500          0.0011      
45         0.0018       0.0000          0.5000          0.0011      
57         0.0018       0.0000          0.6667          0.0011      
59         0.0018       0.0000          1.0000          0.0011      
64         0.0018       0.0000          1.0000          0.0011      
66         0.0018       0.0000          0.4758          0.0011      
67         0.0018       0.0000          1.0000          0.0011      
68         0.0018       0.0000          0.3294          0.0011      
69         0.0018       0.0000          1.0000          0.0011      
76         0.0018       0.0000          0.3230          0.0011      
80         0.0018       0.0000          1.0000          0.0011      
86         0.0018       0.0000          1.0000          0.0011      
89         0.0018       0.0000          1.0000          0.0011      
94         0.0036       0.0000          0.4771          0.0011      
96         0.0018       0.0000          1.0000          0.0011      
98         0.0018       0.0000          0.3230          0.0011      
99         0.0018       0.0000          0.4758          0.0011      
103        0.0018       0.0000          1.0000          0.0011      
104        0.0018       0.0000          1.0000          0.0011      
109        0.0018       0.0000          1.0000          0.0011      
111        0.0018       0.0000          1.0000          0.0011      
114        0.0018       0.0000          0.3392          0.0011      
116        0.0018       0.0000          1.0000          0.0011      
119        0.0018       0.0000          1.0000          0.0011      
120        0.0018       0.0000          1.0000          0.0011      
123        0.0018       0.0000          0.6667          0.0011      
124        0.0018       0.0000          0.2500          0.0011      
125        0.0018       0.0000          1.0000          0.0011      
132        0.0018       0.0000          1.0000          0.0011      
138        0.0018       0.0000          1.0000          0.0011      
139        0.0018       0.0000          1.0000          0.0011      
140        0.0018       0.0000          1.0000          0.0011      
142        0.0018       0.0000          0.6000          0.0011      
144        0.0018       0.0000          1.0000          0.0011      
147        0.0018       0.0000          0.5000          0.0011      
153        0.0018       0.0000          0.5000          0.0011      
154        0.0036       0.0000          0.4764          0.0011      
155        0.0018       0.0000          0.3392          0.0011      
156        0.0018       0.0000          1.0000          0.0011      
158        0.0018       0.0000          1.0000          0.0011      
159        0.0018       0.0000          1.0000          0.0011      
160        0.0018       0.0000          1.0000          0.0011      
170        0.0018       0.0000          1.0000          0.0011      
171        0.0053       0.0000          0.2663          0.0011      
172        0.0018       0.0000          0.3392          0.0011      
175        0.0018       0.0000          0.3247          0.0011      
176        0.0036       0.0000          0.4764          0.0011      
177        0.0018       0.0000          0.5000          0.0011      
179        0.0018       0.0000          0.4758          0.0011      
185        0.0018       0.0000          1.0000          0.0011      
187        0.0018       0.0000          0.5000          0.0011      
191        0.0018       0.0000          1.0000          0.0011      
193        0.0018       0.0000          1.0000          0.0011      
197        0.0018       0.0000          1.0000          0.0011      
198        0.0018       0.0000          0.4758          0.0011      
199        0.0018       0.0000          1.0000          0.0011      
200        0.0018       0.0000          1.0000          0.0011      
204        0.0018       0.0000          0.3247          0.0011      
209        0.0036       0.0000          1.0000          0.0011      
213        0.0018       0.0000          1.0000          0.0011      
216        0.0018       0.0000          1.0000          0.0011      
217        0.0036       0.0000          0.4765          0.0011      
219        0.0018       0.0000          1.0000          0.0011      
222        0.0018       0.0000          1.0000          0.0011      
223        0.0018       0.0000          1.0000          0.0011      
224        0.0018       0.0000          0.2446          0.0011      
227        0.0018       0.0000          1.0000          0.0011      
228        0.0231       0.0000          0.5000          0.0011      
229        0.1687       0.0000          0.5714          0.0011      
230        0.0053       0.0000          0.3402          0.0011      
231        0.0036       0.0000          0.3396          0.0011      
232        0.0835       0.0000          0.5114          0.0011      
236        0.0018       0.0000          0.4000          0.0011      
238        0.0018       0.0000          0.3303          0.0011      
240        0.0018       0.0000          0.6667          0.0011      
247        0.0018       0.0000          0.3294          0.0011      
248        0.0018       0.0000          1.0000          0.0011      
252        0.0018       0.0000          0.3230          0.0011      
255        0.0018       0.0000          1.0000          0.0011      
266        0.0018       0.0000          1.0000          0.0011      
267        0.0018       0.0000          0.4758          0.0011      
272        0.0018       0.0000          1.0000          0.0011      
275        0.0018       0.0000          0.4758          0.0011      
279        0.0018       0.0000          0.3294          0.0011      
283        0.0018       0.0000          0.4758          0.0011      
284        0.0018       0.0000          1.0000          0.0011      
288        0.0018       0.0000          0.1993          0.0011      
291        0.0018       0.0000          1.0000          0.0011      
298        0.0018       0.0000          1.0000          0.0011      
301        0.0018       0.0000          1.0000          0.0011      
303        0.0018       0.0000          1.0000          0.0011      
317        0.0018       0.0000          1.0000          0.0011      
320        0.0018       0.0000          0.4758          0.0011      
321        0.0018       0.0000          1.0000          0.0011      
328        0.0018       0.0000          1.0000          0.0011      
334        0.0018       0.0000          1.0000          0.0011      
336        0.0018       0.0000          1.0000          0.0011      
340        0.0018       0.0000          1.0000          0.0011      
341        0.0018       0.0000          1.0000          0.0011      
343        0.0018       0.0000          0.4758          0.0011      
347        0.0036       0.0000          0.3250          0.0011      
349        0.0018       0.0000          1.0000          0.0011      
350        0.0018       0.0000          0.5000          0.0011      
362        0.0018       0.0000          1.0000          0.0011      
369        0.0018       0.0000          1.0000          0.0011      
373        0.0018       0.0000          1.0000          0.0011      
375        0.0018       0.0000          1.0000          0.0011      
376        0.0036       0.0000          0.4764          0.0011      
379        0.0036       0.0000          1.0000          0.0011      
381        0.0018       0.0000          1.0000          0.0011      
384        0.0018       0.0000          1.0000          0.0011      
386        0.0018       0.0000          1.0000          0.0011      
387        0.0018       0.0000          1.0000          0.0011      
390        0.0018       0.0000          1.0000          0.0011      
399        0.0018       0.0000          1.0000          0.0011      
404        0.0018       0.0000          1.0000          0.0011      
405        0.0018       0.0000          0.3315          0.0011      
408        0.0018       0.0000          0.6667          0.0011      
409        0.0018       0.0000          1.0000          0.0011      
413        0.0018       0.0000          1.0000          0.0011      
414        0.0018       0.0000          1.0000          0.0011      
415        0.0018       0.0000          0.3294          0.0011      
416        0.0018       0.0000          0.4758          0.0011      
423        0.0018       0.0000          1.0000          0.0011      
428        0.0018       0.0000          1.0000          0.0011      
435        0.0018       0.0000          1.0000          0.0011      
438        0.0018       0.0000          1.0000          0.0011      
444        0.0018       0.0000          0.4758          0.0011      
445        0.0018       0.0000          1.0000          0.0011      
448        0.0302       0.0000          0.4913          0.0011      
450        0.0018       0.0000          0.4758          0.0011      
459        0.0018       0.0000          1.0000          0.0011      
463        0.0018       0.0000          1.0000          0.0011      
466        0.0018       0.0000          0.3230          0.0011      
468        0.0018       0.0000          0.4758          0.0011      
469        0.0018       0.0000          0.2519          0.0011      
472        0.0018       0.0000          1.0000          0.0011      
477        0.0018       0.0000          1.0000          0.0011      
478        0.0036       0.0000          1.0000          0.0011      
479        0.0018       0.0000          1.0000          0.0011      
482        0.0018       0.0000          1.0000          0.0011      
484        0.0018       0.0000          0.6667          0.0011      
485        0.0018       0.0000          1.0000          0.0011      
491        0.0018       0.0000          0.3247          0.0011      
495        0.0018       0.0000          1.0000          0.0011      
496        0.0018       0.0000          1.0000          0.0011      
497        0.0018       0.0000          1.0000          0.0011      
499        0.0036       0.0000          1.0000          0.0011      
500        0.0018       0.0000          0.3230          0.0011      
504        0.0018       0.0000          1.0000          0.0011      
505        0.0018       0.0000          1.0000          0.0011      
506        0.0018       0.0000          0.2519          0.0011      
510        0.0018       0.0000          0.4758          0.0011      
511        0.0018       0.0000          0.3315          0.0011      
512        0.0018       0.0000          0.5000          0.0011      
513        0.0018       0.0000          1.0000          0.0011      
515        0.0018       0.0000          1.0000          0.0011      
516        0.0018       0.0000          1.0000          0.0011      
517        0.0018       0.0000          1.0000          0.0011      
518        0.0018       0.0000          1.0000          0.0011      
520        0.0018       0.0000          0.4758          0.0011      
522        0.0018       0.0000          0.4758          0.0011      
523        0.0018       0.0000          1.0000          0.0011      
525        0.0018       0.0000          1.0000          0.0011      
529        0.0018       0.0000          1.0000          0.0011      
532        0.0018       0.0000          0.3247          0.0011      
538        0.0018       0.0000          0.2127          0.0011      
550        0.0018       0.0000          1.0000          0.0011      
553        0.0018       0.0000          1.0000          0.0011      
558        0.0036       0.0000          1.0000          0.0011      
561        0.0036       0.0000          0.3358          0.0011      
563        0.0018       0.0000          1.0000          0.0011      
================================================================================
